temperature,top_p,repetition_penalty,perplexity,mean_nll,tokens,file
1.3,0.95,1.2,34.66,3.5455,220,experiments/results/generations/gen_t1.3_p0.95_rp1.2.txt
1.3,0.85,1.2,25.64,3.2441,218,experiments/results/generations/gen_t1.3_p0.85_rp1.2.txt
1.0,0.95,1.2,17.72,2.8746,221,experiments/results/generations/gen_t1.0_p0.95_rp1.2.txt
1.3,0.95,1.0,12.73,2.544,219,experiments/results/generations/gen_t1.3_p0.95_rp1.0.txt
1.0,0.85,1.2,11.08,2.4049,220,experiments/results/generations/gen_t1.0_p0.85_rp1.2.txt
0.7,0.95,1.2,10.89,2.3881,220,experiments/results/generations/gen_t0.7_p0.95_rp1.2.txt
1.0,0.95,1.0,9.85,2.2872,220,experiments/results/generations/gen_t1.0_p0.95_rp1.0.txt
1.3,0.85,1.0,9.53,2.2549,219,experiments/results/generations/gen_t1.3_p0.85_rp1.0.txt
0.7,0.85,1.2,9.33,2.2337,219,experiments/results/generations/gen_t0.7_p0.85_rp1.2.txt
1.0,0.85,1.0,9.21,2.2207,220,experiments/results/generations/gen_t1.0_p0.85_rp1.0.txt
0.7,0.85,1.0,7.37,1.9976,218,experiments/results/generations/gen_t0.7_p0.85_rp1.0.txt
0.7,0.95,1.0,7.13,1.9642,218,experiments/results/generations/gen_t0.7_p0.95_rp1.0.txt
